0,title,url,stage,date,start_time,end_time
123,ANZ B2B SPECIAL REQUEST,https://www.instagram.com/anzieanz/?hl=en // https://www.instagram.com/s_p_e_c_i_a_l_r_e_q_u_e_s_t/?hl=en,SAN REMO,22/06/2023,00:00,03:00
124,APIENTO,https://www.instagram.com/apiento/?hl=en,SAN REMO,22/06/2023,16:30,18:00
125,APPLE SHAKERS,https://appleshakers.co.uk,CROISSANT NEUF BANDSTAND,22/06/2023,14:00,14:30
126,ARAMINTA,https://www.instagram.com/thearaminta/,GLADE DOME,24/06/2023,12:00,13:00
127,ARCADIA: THE SCIENCE BEHIND THE SPIDER,,LABORATORY STAGE,23/06/2023,11:15,11:45
128,ARCTIC MONKEYS,https://arcticmonkeys.com/,PYRAMID STAGE,23/06/2023,22:15,23:45
129,AREA 51 - ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,23/06/2023,00:38,00:45
130,AREA 51 - ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,23/06/2023,00:13,00:20
131,AREA 51 - ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,24/06/2023,00:37,00:45
132,AREA 51 - ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,24/06/2023,00:11,00:19
133,AREA 51 ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,25/06/2023,00:39,00:46
134,AREA 51 ANGEL FRANCO,,OUTSIDE CIRCUS STAGE,25/06/2023,00:14,00:21
135,AREEBA HAMID,http://greenpeace executive director,SPEAKERS FORUM,25/06/2023,16:00,17:00
136,ARIELLE FREE,https://www.instagram.com/ariellefree,GLADE,22/06/2023,21:05,22:05
137,ARIES,,THE SALON CAROUSEL,23/06/2023,00:45,01:45
138,ARLO: SUPPER CLUB TAKEOVER,https://instagram.com/arlo___dj,BABYLON UPRISING,24/06/2023,17:00,18:00
139,AROUND ABOUT DUSK,https://www.rachellawrencemusic.co.uk/aroundaboutdusk/,THE BANDSTAND,25/06/2023,14:00,14:40
140,ARTWORK,https://ra.co/dj/artwork,NYC DOWNLOW,25/06/2023,02:00,03:25
141,"ASIF KAPADIA, JAMIE KELSEY FRY, VICTORIA KAPADIA & BEE ROWLATT",http://culture & revolutionary shifts,SPEAKERS FORUM,25/06/2023,14:00,15:00
142,ASKEW,,THE RABBIT HOLE,23/06/2023,17:30,18:00
143,ASSAD REHMAN,"http://race, class, climate & capitalism",SPEAKERS FORUM,23/06/2023,12:00,13:00
144,ASTEROID CITY 12A,https://www.imdb.com/title/tt14230388/,PILTON PALAIS CINEMA,25/06/2023,11:00,18:30
145,ASTRA CLUB - DJ TENNIS & CARLITA,https://www.instagram.com/djtennis/?hl=en // https://www.instagram.com/carlita_music/?hl=en,SAN REMO,25/06/2023,22:00,01:00
146,ATCHIN TAN PRESENTS - BORN ON ROAD,https://bornonroad.com/,FLYING BUS,22/06/2023,23:05,00:00
147,ATCHIN TAN PRESENTS - SUGAR SHANE,https://youtube.com/@sugarshane_1,FLYING BUS,22/06/2023,22:30,23:00
148,ATCHIN TAN PRESENTS - TRAVELLER AWARENESS CAMPAIGN SPEAKERS,,FLYING BUS,22/06/2023,23:00,23:05
149,ATCHIN TAN PRESENTS - TRAVELLER AWARENESS CAMPAIGN SPEAKERS,,FLYING BUS,22/06/2023,22:25,22:30
150,ATCHIN TAN PRESENTS - TRAVELLER AWARENESS CAMPAIGN SPEAKERS,,FLYING BUS,22/06/2023,20:40,20:45
151,ATCHIN TAN PRESENTS - ZED BIAS B2B METRODOME HOSTED BY MC BIC AND DJ CHUNKY,https://soundcloud.com/zedbiasakamaddslinky,FLYING BUS,22/06/2023,20:45,22:15
152,ATCHIN TAN PRESENTS: FFTP (FREEDOM FOR TRAVELLING PEOPLE) B2B GORJA BAND,https://linktr.ee/atchintan,FLYING BUS,22/06/2023,20:00,20:40
153,ATHALAHTA,https://athalahta.com/,MANDALA STAGE,23/06/2023,17:00,18:00
154,AUTUMN SAINTS,https://www.theautumnsaints.com/,MANDALA STAGE,24/06/2023,19:00,20:00
155,AUTUMN SAINTS,https://www.theautumnsaints.com/,THE BANDSTAND,25/06/2023,17:05,17:50
156,AXEL BOY,https://axelboymusic.com/,GLADE DOME,22/06/2023,20:15,21:15
157,B:RAVE,https://brave-night.com/,SENSATION SEEKERS STAGE,23/06/2023,00:50,01:35
158,B:RAVE,https://brave-night.com/,SENSATION SEEKERS STAGE,25/06/2023,01:05,01:55
159,BABY SOUL,https://www.instagram.com/babysoul7,RABBIT HOLE'S FUNKINGHAM PALACE,23/06/2023,21:00,22:15
160,BADLY DRAWN BOY,https://www.instagram.com/badlydrawnboyofficial/,ACOUSTIC STAGE,24/06/2023,16:00,16:40
161,BAGGY MONDAYS,https://twitter.com/baggymondays,STONEBRIDGE BAR,22/06/2023,14:00,15:30
162,BAILE LDN,http://www.instagram.com/baileldn,THE RUM SHACK,24/06/2023,05:00,06:00
163,BALANCE,https://www.boomcircus.co.uk/,CIRCUS BIG TOP,22/06/2023,19:35,20:15
164,BALANCE,http://https://www.boomcircus.co.uk/,CIRCUS BIG TOP,23/06/2023,20:06,20:46
165,BALANCE,https://www.boomcircus.co.uk/,CIRCUS BIG TOP,24/06/2023,20:07,20:47
166,BARBARA NICE (COMPERE),https://www.mrsbarbaranice.com/,CABARET,24/06/2023,12:00,15:30
167,BARBARA NICE (COMPERE),https://www.mrsbarbaranice.com/,CABARET,25/06/2023,12:00,14:15
168,BARBARELLA,https://www.instagram.com/soundslikebarbarella/,STRUMMERVILLE,21/06/2023,22:00,22:45
169,"BARONESS ENNY JONES, LISA WINTERSTEIGER & PHOEBE PLUMMER JSO",http://police bills,SPEAKERS FORUM,24/06/2023,12:00,13:00
170,BARONHAWK POITIER,https://ra.co/dj/baronhawkpoitier,IICON,24/06/2023,02:45,04:45
171,BARRINGTON LEVY,http://www.barringtonlevy.com/,WEST HOLTS STAGE,25/06/2023,18:30,19:30
172,BARRY CAN'T SWIM,,THE LONELY HEARTS CLUB,25/06/2023,21:30,22:30
173,BARRY CAN’T SWIM,,STONEBRIDGE BAR,24/06/2023,03:00,04:00
174,BASH STREET THEATRE,https://www.bashstreet.co.uk,GLEBELAND,22/06/2023,16:00,16:40
175,BASH STREET THEATRE,https://www.bashstreet.co.uk,GLEBELAND,23/06/2023,16:00,16:40
176,BASH STREET THEATRE,https://www.bashstreet.co.uk,GLEBELAND,23/06/2023,13:00,13:40
